data;pluviometria;residuo IIA;residuo IIB;vazao chorume;residuo chorume;tratamento externo chorume;tratamento interno chorume;fonte chorume aterro;fonte chorume chuva;fonte chorume lixão;lagoa media medição;lagoa media reserva;lagoa media capacidade;antiincrustante;Biocida;Carvão;NaCl;Óxido de Cálcio;PAC;Zeolia ZS 0.4x1;Zeolia ZN 3x8;Zeolia ZS 3x8;Cartucho  5x30;Cartucho 5x40;Cartucho 10;Ácido Cítrico;Membrana;Polímero;Reagente Nitro Amoniacal;Soda;Reagente DQO;Massa Resíduos;Volume Resíduos;Massa Específica; OPEX ;Areia Industrial;Brita;Pedra;Pedra 2;Rachão;Hora Tratores;Comcustível Tratores;Resíduos Tratores;Horas Escavadeira;Combustível Escavadeira;Resíduos Escavadeira
ago-17;243,00;;;17025,00;28686,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
set-17;157,00;;;11489,00;28765,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
out-17;53,00;;;8613,00;30085,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
nov-17;21,00;;;7091,00;28743,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dez-17;58,00;;;6583,00;34755,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
jan-18;125,00;36704,00;16651,00;5969,00;36672,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
fev-18;169,00;30971,00;14138,00;7491,00;30814,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
mar-18;120,00;34086,00;15817,00;8241,00;32858,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
abr-18;427,00;30413,00;15310,00;13391,00;30598,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
mai-18;163,00;32540,00;15880,00;16649,00;32642,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
jun-18;156,00;29382,00;17116,00;13541,00;29467,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
jul-18;158,00;31718,00;19055,00;13464,00;31768,00;;;;;;;;;;;;;;21978,00;;;;;;;;;84,00;;;;;;;;;;;;;;;;;;
ago-18;64,00;31390,00;20112,00;11696,00;31237,00;;;;;;;;;;;;;;26025,00;;;;;;;;;115,00;;;;;;;;;;;;;;;;;;
